time latitude longitude depth mag magType
2023-03-29T23:04:28.121Z 58.938 -138.1105 0 3.3 ml
2023-03-29T21:44:21.765Z 37.7974 36.5428 5 4.3 mb
2023-03-29T21:44:11.414Z 28.3251 141.4912 59.487 4.8 mb
2023-03-29T20:54:01.167Z 61.3474 -146.6754 9.2 2.5 ml
2023-03-29T20:10:41.883Z 1.8946 127.1364 115.289 4.8 mb
2023-03-29T19:35:25.480Z 19.147 -65.6528333333333 29.93 3.29 md
2023-03-29T18:51:04.540Z 19.0403333333333 -65.722 30.18 3.1 md
2023-03-29T18:41:45.596Z 62.1797 -152.9186 0.1 2.6 ml
2023-03-29T18:26:49.386Z -15.2968 -173.0504 10 5.4 mww
2023-03-29T18:24:32.810Z 19.1853333333333 -65.65 38.39 3.34 md
2023-03-29T18:10:19.540Z -8.2471 116.7308 12.409 4.9 mb
2023-03-29T16:47:02.861Z 37.9135 36.2474 10 4.6 mb
2023-03-29T14:24:39.360Z 44.5253333 -110.3611667 3.67 3.72 ml
2023-03-29T14:22:35.460Z 44.5128333 -110.3416667 4.9 2.52 ml
2023-03-29T14:02:03.150Z 44.5153333 -110.3596667 6.96 2.67 ml
2023-03-29T13:45:26.910Z 44.519 -110.3538333 3.6 2.68 ml
2023-03-29T13:43:41.250Z 44.5178333 -110.3538333 2.64 2.81 md
2023-03-29T13:42:25.360Z 44.5215 -110.373 1.54 2.71 ml
2023-03-29T13:11:58.560Z 44.5195 -110.3715 1.44 2.61 ml
2023-03-29T13:05:13.570Z 44.5191667 -110.3553333 3.37 3.06 ml
2023-03-29T12:43:46.140Z 44.5203333 -110.3516667 2.4 2.88 ml
2023-03-29T11:49:11.188Z 62.2079 -151.1044 81.3 3.3 ml
2023-03-29T11:37:15.756Z 56.517 -148.4212 10 3.5 ml
2023-03-29T11:11:07.060Z 44.5166667 -110.3501667 6.83 2.71 ml
2023-03-29T10:44:53.245Z 62.113 -151.1482 0 2.6 ml
2023-03-29T10:31:22.060Z 18.0178333333333 -65.4621666666667 17.82 2.81 md
2023-03-29T09:53:47.400Z 27.9933 139.427 502.567 4.7 mb
2023-03-29T09:04:32.264Z 56.7431 -154.9847 6.8 2.6 ml
2023-03-29T08:57:15.085Z -17.9194 -178.6172 568.927 4.8 mb
2023-03-29T08:53:57.792Z 30.3087 127.9014 6.485 5.1 mb
2023-03-29T08:09:20.363Z 36.6575 71.0908 213.364 4.3 mb
2023-03-29T07:41:46.874Z 5.9358 126.3837 11.286 4.8 mb
2023-03-29T07:38:53.484Z -26.2273 178.4971 617.233 5 mb
2023-03-29T07:27:03.653Z -18.4958 -175.4917 243.404 4.7 mb
2023-03-29T07:11:17.280Z 35.8483333 -117.7021667 6.55 2.94 ml
2023-03-29T06:51:56.516Z 56.7389 -148.4772 3 2.5 ml
2023-03-29T06:38:58.555Z -14.041 -74.4411 89.479 4.7 mb
2023-03-29T05:07:53.668Z 51.742 176.0759 46.015 3.9 mb
2023-03-29T04:34:57.920Z 51.8548333333333 -178.0935 3.36 2.72 ml
2023-03-29T04:11:22.715Z -15.315 -175.0423 284.444 4.4 mb
2023-03-29T02:15:54.400Z 36.727 71.2853 182.298 4.4 mb
2023-03-29T00:34:59.155Z 36.5116 70.2942 201.25 4 mb
2023-03-29T00:19:14.335Z 34.6026 70.6043 52.985 4.3 mb
2023-03-28T23:48:45.970Z 36.3179 139.4924 133.912 4.1 mb
2023-03-28T22:21:00.410Z 18.0931666666667 -66.8865 18.67 2.72 md
2023-03-28T21:52:45.073Z 41.6564 14.6553 8.416 4.7 mwr
2023-03-28T21:12:20.120Z 61.5875 -147.9736 6.4 2.5 ml
2023-03-28T19:27:07.043Z 2.4101 128.7992 35 4.6 mb
2023-03-28T17:13:40.877Z 12.6459 -71.0189 44.083 4.5 mb
2023-03-28T17:05:56.574Z 30.2842 51.7982 10 4.5 mb
2023-03-28T14:50:18.396Z 64.2173 -150.4531 15.7 2.6 ml
2023-03-28T14:02:10.059Z 51.8586 -178.1097 7.254 2.5 ml
2023-03-28T13:07:17.439Z -10.9198 166.7573 9.181 5.2 mww
2023-03-28T13:04:00.490Z 37.6181667 -122.474 8.7 2.6 md
2023-03-28T13:03:08.920Z 37.616 -122.4793333 8.99 2.58 md
2023-03-28T13:01:18.360Z 37.6173333 -122.4773333 9.13 3.4 ml
2023-03-28T12:54:01.794Z -10.8856 166.845 10 5 mb
2023-03-28T10:30:28.881Z 43.267 -110.8435 11.046 2.8 ml
2023-03-28T09:45:00.250Z 31.61676374 -103.9600927 5.270349121 2.5 ml
2023-03-28T09:44:27.335Z 31.61882519 -103.9622535 6.093005371 2.6 ml
2023-03-28T09:18:28.117Z 41.148 142.805 34 6 mww
2023-03-28T09:05:02.563Z -2.6262 128.4726 10 4.1 mb
2023-03-28T08:29:24.930Z 51.8425 -178.046666666667 2.82 3.41 ml
2023-03-28T08:25:01.079Z 32.46551514 -102.0185071 8.583618164 2.5 ml
2023-03-28T07:47:09.640Z 19.204 -66.2185 21.52 3.25 md
2023-03-28T07:19:14.100Z 51.8556666666667 -178.038166666667 -1.8 2.61 ml
2023-03-28T06:52:25.592Z 16.9813 95.8836 10 3.5 ml
2023-03-28T05:56:52.300Z 51.8423333333333 -178.051 2.95 2.64 ml
2023-03-28T05:56:04.850Z 51.8453333333333 -178.055166666667 2.53 2.75 ml
2023-03-28T05:51:29.047Z 18.3377 120.4505 29.196 5.3 mww
2023-03-28T05:39:10.750Z 17.9531666666667 -66.9616666666667 15.7 2.6 md
2023-03-28T04:31:48.573Z -3.6472 139.08 10 4.3 mb
2023-03-28T04:19:09.715Z -0.3835 123.5482 74.625 5 mww
2023-03-28T04:12:00.570Z 19.0316666666667 -67.1503333333333 8.29 3.3 md
2023-03-28T04:05:00.070Z 39.411499 -123.3365021 4.86 2.54 md
2023-03-28T03:17:00.818Z -17.871 167.4196 10 4.7 mb
2023-03-28T02:26:28.540Z 40.2823333 -124.3806667 20.94 2.96 md
2023-03-28T01:11:30.779Z 56.1459 -157.6988 16.9 3.5 ml
2023-03-28T00:28:06.210Z 18.3466666666667 -65.9161666666667 41.78 2.73 md
2023-03-28T00:05:41.338Z -6.2098 130.235 117.25 4.3 mb
